objectid,filename,title,creator,date,description,subject,location,format original,format,type,identifier,language,collection,linktocollection,rights,rightsstatement
nimitz11,https://tyvictoria.github.io/Nimitz-Images/nimitz11.jpg,"Douglas MacArthur, Franklin D. Roosevelt, and Chester W. Nimitz Onboard the U.S.S. Baltimore",Official U.S. Navy Photograph,1944-07-26,"Photograph of General Douglas MacArthur, President Franklin D. Roosevelt, and Admiral Chester W. Nimitz sitting side by side on the U.S.S. Baltimore.","United States. Navy; United States. Air Force; Roosevelt, Franklin D.; Macarthur, Douglas; Nimitz, Chester W.; U.S.S. Baltimore; Presidents; Pacific Fleet; WW2; Ships",United States,Black and White Photograph,image/jpeg,Image;StillImage,2017.092.008d-uu,eng,Nimitz Family Photograph Collection,https://digitalarchive.pacificwarmuseum.org/digital/collection/p16769coll16,Commercial use is prohibited without permission from the National Museum of the Pacific War.,https://creativecommons.org/licenses/
nimitz12,https://tyvictoria.github.io/Nimitz-Images/nimitz12.jpg,Admiral Raymond A. Spruance and Fleet Admiral Chester W. Nimitz at Command Change Ceremony,Official U.S. Navy Photograph,1945-11-24,"Photograph of Admiral Raymond A. Spruance, Fleet Admiral Chester W. Nimitz, Vice Admiral J. H. Newton, U.S.N., Rear Admiral Dewitt C. Ramsey U.S.N., Cdr. James Loo, U.S.N. and Lieut. Sam L. Bernard during change of command on board U.S.S. Menhaden, Submarine Base, Pearl Harbor.","United States. Navy; Nimitz, Chester W.; Spruance, Raymond A.; Newton, J. H.; Ramsey, Dewitt C.; Loo, James; Bernard, Sam L.; U.S.S. Menhaden; Submarine Base; Pearl Harbor; Change of Command; Ceremonies; Ships",United States - Hawaii - Honolulu County - Oahu Island,Black and White Photograph,image/jpeg,Image;StillImage,2017.092.008e-b,eng,Nimitz Family Photograph Collection,https://digitalarchive.pacificwarmuseum.org/digital/collection/p16769coll17,Commercial use is prohibited without permission from the National Museum of the Pacific War.,https://creativecommons.org/licenses/
nimitz13,https://tyvictoria.github.io/Nimitz-Images/nimitz13.jpg,Fleet Admiral Chester W. Nimitz Waves from Horse Drawn Carriage,,1945-10-13,"Photograph of Fleet Admiral Chester W. Nimitz waving from a carriage drawn by two horses as he makes his way into Kerrville, Texas for a victory celebration.","United States. Navy; Nimitz, Chester W.; Nimitz, Catherine Freeman; Parades; Govenors; Stevenson, Coke ",United States - Texas - Kerr County - Kerrville,Black and White Photograph,image/jpeg,Image;StillImage,2017.092.008e-j,eng,Nimitz Family Photograph Collection,https://digitalarchive.pacificwarmuseum.org/digital/collection/p16769coll18,Commercial use is prohibited without permission from the National Museum of the Pacific War.,https://creativecommons.org/licenses/
nimitz14,https://tyvictoria.github.io/Nimitz-Images/nimitz14.jpg,Chester W. Nimitz in Texas Regalia,,1946-02-14,"Photograph of Chester W. Nimitz standing behind a table and microphone dressed in Texas regalia. Handwritten by Nimitz on front: ""Mary 14 Feb 1946 To my Valentine, Your Dad"". ","United States. Navy; Nimitz, Chester W.; Valentines Day; American Flags; Texas",United States - Washington D.C.,Black and White Photograph,image/jpeg,Image;StillImage,2017.092.008e,eng,Nimitz Family Photograph Collection,https://digitalarchive.pacificwarmuseum.org/digital/collection/p16769coll19,Commercial use is prohibited without permission from the National Museum of the Pacific War.,https://creativecommons.org/licenses/
nimitz15,https://tyvictoria.github.io/Nimitz-Images/nimitz15.jpg,"Chester W. Nimitz and Catherine Freeman Nimitz, #2",,1919-06-22,Photograph of Chester W. Nimitz and Catherine Freeman Nimitz in front of shrubbery. ,"Nimitz, Chester W.; Nimitz, Catherine Freeman",United States - Virginia - Hampton Independent City - Hampton,Black and White Photograph,image/jpeg,Image;StillImage,2017.092.008b-162,eng,Nimitz Family Photograph Collection,https://digitalarchive.pacificwarmuseum.org/digital/collection/p16769coll20,Commercial use is prohibited without permission from the National Museum of the Pacific War.,https://creativecommons.org/licenses/
nimitz16,https://tyvictoria.github.io/Nimitz-Images/nimitz16.jpg,Chester W. Nimitz Giving a Speech,,1956-05-31,"Photograph of Chester W. Nimitz standing at a wooden podium with a standing microphone beside it, giving speech at the U.S. Naval Postgraduate School, Monterey, California.","United States. Navy; Nimitz, Chester W.; Speeches",United States - California - Monterey County - Monterey,Black and White Photograph,image/jpeg,Image;StillImage,2017.092.008b-263-265,eng,Nimitz Family Photograph Collection,https://digitalarchive.pacificwarmuseum.org/digital/collection/p16769coll21,Commercial use is prohibited without permission from the National Museum of the Pacific War.,https://creativecommons.org/licenses/
nimitz17,https://tyvictoria.github.io/Nimitz-Images/nimitz17.jpg,Chester W. Nimitz with Colonel Breckenridge,,1926-05-19,Photograph of Chester W. Nimitz standing with friend Colonel Breckenridge.,"Nimitz, Chester W.; Breckinridge, James C.",United States,Black and White Photograph,image/jpeg,Image;StillImage,2017.092.008b-157,eng,Nimitz Family Photograph Collection,https://digitalarchive.pacificwarmuseum.org/digital/collection/p16769coll22,Commercial use is prohibited without permission from the National Museum of the Pacific War.,https://creativecommons.org/licenses/
nimitz18,https://tyvictoria.github.io/Nimitz-Images/nimitz18.jpg,"Portrait of Fleet Admiral Chester W. Nimitz, #1",,1945-01-21,Portrait of Fleet Admiral Chester W. Nimitz from the chest up in front of a map.,"United States. Navy; Nimitz, Chester W.; Portraits; Maps; WW2",United States,Black and White Photograph,image/jpeg,Image;StillImage,2017.092.008d-a,eng,Nimitz Family Photograph Collection,https://digitalarchive.pacificwarmuseum.org/digital/collection/p16769coll23,Commercial use is prohibited without permission from the National Museum of the Pacific War.,https://creativecommons.org/licenses/
nimitz19,https://tyvictoria.github.io/Nimitz-Images/nimitz19.jpg,Fleet Admiral Chester W. Nimitz Points At a Map,Official U.S. Navy Photograph,1949-03-28,"Photograph of Fleet Admiral Chester W. Nimitz, United Nations Plebiscite Administrator for Jammu-Kashmir, pointing to a map in the office of Trygve Lie, U.N. Secretary General. ","United States. Navy; Nimitz, Chester W.; Lie, Trygve; Maps; Plebiscite Administrator; Pacific Fleet; Maps",United States - New York - Nassau County - North Hempstead,Black and White Photograph,image/jpeg,Image;StillImage,2005.661.258a-s,eng,Nimitz Family Photograph Collection,https://digitalarchive.pacificwarmuseum.org/digital/collection/p16769coll24,Commercial use is prohibited without permission from the National Museum of the Pacific War.,https://creativecommons.org/licenses/
nimitz20,https://tyvictoria.github.io/Nimitz-Images/nimitz20.jpg,Fleet Admiral Chester W. Nimitz Receives Award from Cardinal Spellman,Official U.S. Navy Photograph,1947-01-21,Photograph of Fleet Admiral Chester W. Nimitz receiving the 1946 Club of Champions Award of the Catholic Youth Organization of the Archdiocese of New York from Cardinal Francis Spellman. ,"United States. Navy; Nimitz, Chester W.; Francis, Spellman; Cardinals; Awards; Catholic Youth Organization",United States - New York - New York City,Black and White Photograph,image/jpeg,Image;StillImage,2005.661.258a-t,eng,Nimitz Family Photograph Collection,https://digitalarchive.pacificwarmuseum.org/digital/collection/p16769coll25,Commercial use is prohibited without permission from the National Museum of the Pacific War.,https://creativecommons.org/licenses/
nimitz21,https://tyvictoria.github.io/Nimitz-Images/nimitz21.jpg,Admiral Chester W. Nimitz Watches Enlisted Sailor Pitch Horseshoes,,1944-05-21,"Photograph of Admiral Chester W. Nimitz watching an enlisted sailor, possibly Anthony Trifiletti, pitch horseshoes during picnic on the beach.","United States. Navy; Nimitz, Chester W.; Trifiletti, Anthony; Horseshoes; Beaches; WW2",United States - Hawaii - Honolulu County - Oahu Island,Black and White Photograph,image/jpeg,Image;StillImage,2005.661.258a-c,eng,Nimitz Family Photograph Collection,https://digitalarchive.pacificwarmuseum.org/digital/collection/p16769coll26,Commercial use is prohibited without permission from the National Museum of the Pacific War.,https://creativecommons.org/licenses/
nimitz22,https://tyvictoria.github.io/Nimitz-Images/nimitz22.jpg,Officers and Enlisted Men Aboard U.S.S. Arizona During Command Change,Official U.S. Navy Photograph,1939-05-26,Photograph of officers and enlisted men lining the deck of the U.S.S. Arizona during a change of command ceremony.,"United States. Navy; Nimitz, Chester W.; U.S.S. Arizona; Change of Command; Ceremonies; WW2; Ships",United States - California - Los Angeles County - San Pedro,Black and White Photograph,image/jpeg,Image;StillImage,2005.661.258a-cc,eng,Nimitz Family Photograph Collection,https://digitalarchive.pacificwarmuseum.org/digital/collection/p16769coll27,Commercial use is prohibited without permission from the National Museum of the Pacific War.,https://creativecommons.org/licenses/
nimitz23,https://tyvictoria.github.io/Nimitz-Images/nimitz23.jpg,Chester W. Nimitz Relieving J. O. Richardson as Chief of the Bureau of Navigation,Official U.S. Navy Photograph,1939-06-15,"Photograph of an unidentified man, Rear Admiral Chester W. Nimitz, and Admiral J. O. Richardson standing together during change of command where Nimitz relieves Richardson as Chief of Bureau of Navigation.","United States. Navy; Nimitz, Chester W.; Richardson, James O.; Bureau of Navigation; Ceremonies; WW2",United States,Black and White Photograph,image/jpeg,Image;StillImage,2005.661.258a-ee,eng,Nimitz Family Photograph Collection,https://digitalarchive.pacificwarmuseum.org/digital/collection/p16769coll28,Commercial use is prohibited without permission from the National Museum of the Pacific War.,https://creativecommons.org/licenses/
nimitz24,https://tyvictoria.github.io/Nimitz-Images/nimitz24.jpg,Admiral Chester W. Nimitz During Change of Command Ceremony,Official U.S. Navy Photograph,1941-12-31,Photograph of Admiral Chester W. Nimitz standing in front of seven men in uniform during change of command ceremony.,"United States. Navy; Nimitz, Chester W.; Kimmel, Husband E.; Change of Command; Ceremonies; WW2",United States,Black and White Photograph,image/jpeg,Image;StillImage,2005.661.258a-ff,eng,Nimitz Family Photograph Collection,https://digitalarchive.pacificwarmuseum.org/digital/collection/p16769coll29,Commercial use is prohibited without permission from the National Museum of the Pacific War.,https://creativecommons.org/licenses/
nimitz25,https://tyvictoria.github.io/Nimitz-Images/nimitz25.jpg,Admiral Chester W. Nimitz and Admiral Halsey Aboard U.S.S. Curtiss,Official U.S. Navy Photograph,1943-01-20,Photograph of Admiral Chester W. Nimitz and Admiral Halsey talking aboard the U.S.S. Curtiss. ,"United States. Navy; Nimitz, Chester W.; Halsey, William F., Jr.; U.S.S. Curtiss; Naval Bases; WW2; Ships",Vanuatu - Espiritu Santo Island,Black and White Photograph,image/jpeg,Image;StillImage,2005.661.258a-gg,eng,Nimitz Family Photograph Collection,https://digitalarchive.pacificwarmuseum.org/digital/collection/p16769coll30,Commercial use is prohibited without permission from the National Museum of the Pacific War.,https://creativecommons.org/licenses/
nimitz26,https://tyvictoria.github.io/Nimitz-Images/nimitz26.jpg,Japanese Surrender Ceremony on Board the U.S.S. Missouri,Official U.S. Navy Photograph,1945-09-02,Color photograph of Japanese surrender ceremony on board the U.S.S. Missouri.,"United States. Navy; Nimitz, Chester W.; Umezu, Yoshijirō; U.S.S. Missouri; Tokyo Bay; Surrender; WW2; Ships",Japan - Kanto Region - Tokyo Bay,Color Photograph,image/jpeg,Image;StillImage,2005.661.258a-hh,eng,Nimitz Family Photograph Collection,https://digitalarchive.pacificwarmuseum.org/digital/collection/p16769coll31,Commercial use is prohibited without permission from the National Museum of the Pacific War.,https://creativecommons.org/licenses/
nimitz27,https://tyvictoria.github.io/Nimitz-Images/nimitz27.jpg,Fleet Admiral Chester W. Nimitz During Change of Command Ceremony,Official U.S. Navy Photograph,1945-11-24,"Photograph of Fleet Admiral Chester W. Nimitz standing at a wooden podium and microphone during change of command ceremony on board U.S.S. Menhaden, Pearl Harbor. ","United States. Navy; Nimitz, Chester W.; Spruance, Raymond A.; U.S.S. Menhaden; Pearl Harbor; Change of Command; Ships",United States - Hawaii - Honolulu County - Oahu Island,Black and White Photograph,image/jpeg,Image;StillImage,2005.661.258a-o,eng,Nimitz Family Photograph Collection,https://digitalarchive.pacificwarmuseum.org/digital/collection/p16769coll32,Commercial use is prohibited without permission from the National Museum of the Pacific War.,https://creativecommons.org/licenses/
nimitz28,https://tyvictoria.github.io/Nimitz-Images/nimitz28.jpg,Fleet Admiral Chester W. Nimitz Sits at Desk in Headquarters,Official U.S. Navy Photograph,1945-04-16,Photograph of Fleet Admiral Chester W. Nimitz sitting at his desk holding a large document open in his hands.,"United States. Navy; Nimitz, Chester W.; WW2",Guam,Black and White Photograph,image/jpeg,Image;StillImage,2005.661.258a-n,eng,Nimitz Family Photograph Collection,https://digitalarchive.pacificwarmuseum.org/digital/collection/p16769coll33,Commercial use is prohibited without permission from the National Museum of the Pacific War.,https://creativecommons.org/licenses/
nimitz29,https://tyvictoria.github.io/Nimitz-Images/nimitz29.jpg,Fleet Admiral Chester W. Nimitz Reads a Document Aboard Plane,Official U.S. Navy Photograph,1945-04-26,Photograph of Fleet Admiral Chester W. Nimitz leaning back as he reads a document aboard his plane.,"United States. Navy; Nimitz, Chester W.; Airplanes; WW2",United States,Black and White Photograph,image/jpeg,Image;StillImage,2005.661.258a-o,eng,Nimitz Family Photograph Collection,https://digitalarchive.pacificwarmuseum.org/digital/collection/p16769coll34,Commercial use is prohibited without permission from the National Museum of the Pacific War.,https://creativecommons.org/licenses/
nimitz30,https://tyvictoria.github.io/Nimitz-Images/nimitz30.jpg,Fleet Admiral Chester W. Nimitz Sits at His Desk,Official U.S. Navy Photograph,1950-04-26,Photograph of Fleet Admiral Chester W. Nimitz sitting at his desk that is covered with various papers and books.,"United States. Navy; Nimitz, Chester W.",United States,Black and White Photograph,image/jpeg,Image;StillImage,2005.661.258a-p,eng,Nimitz Family Photograph Collection,https://digitalarchive.pacificwarmuseum.org/digital/collection/p16769coll35,Commercial use is prohibited without permission from the National Museum of the Pacific War.,https://creativecommons.org/licenses/
nimitz31,https://tyvictoria.github.io/Nimitz-Images/nimitz31.jpg,Admiral Sir Bruce Fraser Awards Fleet Admiral Chester W. Nimitz the Grand Cross of the Bath,Official U.S. Navy Photograph,1945-03-11,"Photograph of Admiral Sir Bruce Fraser, Royal Navy, awarding Fleet Admiral Chester W. Nimitz the Grand Cross of the Bath aboard the HMS Duke of York, Guam.","United States. Navy; Nimitz, Chester W.; England and Wales. Royal Navy; Fraser, Bruce; HMS Duke of York; Awards; Cross of the Bath; Ceremonies",Guam,Black and White Photograph,image/jpeg,Image;StillImage,2005.661.258a-q,eng,Nimitz Family Photograph Collection,https://digitalarchive.pacificwarmuseum.org/digital/collection/p16769coll36,Commercial use is prohibited without permission from the National Museum of the Pacific War.,https://creativecommons.org/licenses/
nimitz32,https://tyvictoria.github.io/Nimitz-Images/nimitz32.jpg,Fleet Admiral Chester W. Nimitz Receives a Statuette,Official U.S. Navy Photograph,1954-02-13,"Photograph of Fleet Admiral Chester W. Nimitz receiving a statuette for 'An Inspiring Example of Leadership to Youth' from Eagle Scout Robert Black aboard the U.S.S. Kearsarge, San Francisco Naval Shipyard, California.","United States. Navy; Nimitz, Chester W.; Eagle Scouts; Boy Scouts of America; U.S.S. Kearsarge; San Francisco Naval Shipyard; Black, Robert; Awards; Ceremonies",United States - California - San Francisco County - San Francisco,Black and White Photograph,image/jpeg,Image;StillImage,2005.661.258a-u,eng,Nimitz Family Photograph Collection,https://digitalarchive.pacificwarmuseum.org/digital/collection/p16769coll37,Commercial use is prohibited without permission from the National Museum of the Pacific War.,https://creativecommons.org/licenses/
nimitz33,https://tyvictoria.github.io/Nimitz-Images/nimitz33.jpg,Fleet Admiral Chester W. Nimitz and Captain Robert T. S. Keith Aboard the U.S.S. Missouri,Official U.S. Navy Photograph,1954-09-17,Photograph of Fleet Admiral Chester W. Nimitz standing with Captain Robert T. S. Keith aboard the U.S.S. Missouri.,"United States. Navy; Nimitz, Chester W.; Keith, Robert T. S.; U.S.S. Missouri; Ships",United States - California - San Francisco County - San Francisco,Black and White Photograph,image/jpeg,Image;StillImage,2005.661.258a-v,eng,Nimitz Family Photograph Collection,https://digitalarchive.pacificwarmuseum.org/digital/collection/p16769coll38,Commercial use is prohibited without permission from the National Museum of the Pacific War.,https://creativecommons.org/licenses/
nimitz34,https://tyvictoria.github.io/Nimitz-Images/nimitz34.jpg,"Admiral Chester W. Nimitz Inspects Tarawa, #2",,1943-11-01,Photograph of Admiral Chester W. Nimitz as he inspects Tarawa with a large group of men in uniform.,"United States. Navy; United States. Marine Corps; United States. Army; Nimitz, Chester W.; Smith, Julian Constable; Inspections; WW2",Kiribati - Gilbert Islands - Tarawa Atoll,Black and White Photograph,image/jpeg,Image;StillImage,2005.661.258a-w,eng,Nimitz Family Photograph Collection,https://digitalarchive.pacificwarmuseum.org/digital/collection/p16769coll39,Commercial use is prohibited without permission from the National Museum of the Pacific War.,https://creativecommons.org/licenses/
nimitz35,https://tyvictoria.github.io/Nimitz-Images/nimitz35.jpg,"Portrait of Fleet Admiral Chester W. Nimitz, #2",Official U.S. Navy Photograph,1945-01-21,Portrait of Fleet Admiral Chester W. Nimitz from the chest up in front of a map.,"United States. Navy; Nimitz, Chester W.; Portraits; Maps; WW2",United States,Black and White Photograph,image/jpeg,Image;StillImage,2005.661.258a-oo,eng,Nimitz Family Photograph Collection,https://digitalarchive.pacificwarmuseum.org/digital/collection/p16769coll40,Commercial use is prohibited without permission from the National Museum of the Pacific War.,https://creativecommons.org/licenses/
nimitz36,https://tyvictoria.github.io/Nimitz-Images/nimitz36.jpg,"Admiral Chester W. Nimitz Inspects Tarawa, #1",,     1943-011-01,Photograph of Admiral Chester W. Nimitz inspects Tarawa with a group of other men,"United States. Navy; United States. Marine Corps; United States. Army; Nimitz, Chester W.; Smith, Julian Constable; Price, Charles Fredrick Berthold; Richardson, Robert C., Jr.; Inspections; WW2",Kiribati - Gilbert Islands - Tarawa Atoll,Black and White Photograph,image/jpeg,Image;StillImage,2005.661.258a-x,eng,Nimitz Family Photograph Collection,https://digitalarchive.pacificwarmuseum.org/digital/collection/p16769coll41,Commercial use is prohibited without permission from the National Museum of the Pacific War.,https://creativecommons.org/licenses/
nimitz37,https://tyvictoria.github.io/Nimitz-Images/nimitz37.jpg,Fleet Admiral Chester W. Nimitz Attends a Reception,Official U.S. Army Photograph,1949-03-11,"Photograph of Fleet Admiral Chester W. Nimitz attends a reception in honor of J. B. Pinheiro, Acting Consul General of Brazil Officers Club, Presidio of San Francisco, California. ","United States. Army; United States. Navy; Nimitz, Chester W.; Celebrations; Receptions; Pinheiro, J. B.",United States - California - San Francisco County - San Francisco,Black and White Photograph,image/jpeg,Image;StillImage,2005.661.258a-y,eng,Nimitz Family Photograph Collection,https://digitalarchive.pacificwarmuseum.org/digital/collection/p16769coll42,Commercial use is prohibited without permission from the National Museum of the Pacific War.,https://creativecommons.org/licenses/
nimitz38,https://tyvictoria.github.io/Nimitz-Images/nimitz38.jpg,"J. W. Leverton, James T. Lay, Catherine Nimitz, and Nancy Nimitz at the Nimitz-Lay Wedding",,1945-03-09,"Photograph of J. W. Leverton, James T. Lay, Catherine Nimitz, and Nancy Nimitz in a line at the Nimitz-Lay wedding.","Lay, James T.; Nimitz, Catherine; Leverton, J. W.; Nimitz, Nancy; Weddings; Celebrations",United States,Black and White Photograph,image/jpeg,Image;StillImage,2017.092.008d-dd,eng,Nimitz Family Photograph Collection,https://digitalarchive.pacificwarmuseum.org/digital/collection/p16769coll43,Commercial use is prohibited without permission from the National Museum of the Pacific War.,https://creativecommons.org/licenses/
nimitz39,https://tyvictoria.github.io/Nimitz-Images/nimitz39.jpg,"James T. Lay, Catherine Nimitz, and Chester W. Nimitz at Nimitz-Lay Wedding",,1945-03-09,"Photograph of James T. Lay, Catherine Nimitz, and Fleet Admiral Chester W. Nimitz at Nimitz-Lay wedding.","Lay, James T.; Nimitz, Catherine; Nimitz, Chester W.; Weddings; Celebrations",United States,Black and White Photograph,image/jpeg,Image;StillImage,2017.092.008d-ee,eng,Nimitz Family Photograph Collection,https://digitalarchive.pacificwarmuseum.org/digital/collection/p16769coll44,Commercial use is prohibited without permission from the National Museum of the Pacific War.,https://creativecommons.org/licenses/
nimitz40,https://tyvictoria.github.io/Nimitz-Images/nimitz40.jpg,"Douglas MacArthur, Franklin D. Roosevelt, Chester W. Nimitz, and William Leahy Aboard the U.S.S. Baltimore",Official U.S. Navy Photograph,1944-07-26,"Photograph of General Douglas MacArthur, President Franklin D. Roosevelt, Admiral Chester W. Nimitz, and Admiral William Leahy sitting side by side aboard the U.S.S. Baltimore, Honolulu, Hawaii.","United States. Navy; United States. Air Force; United States. Army; Roosevelt, Franklin D.; Macarthur, Douglas; Halsey, William F., Jr.; Nimitz, Chester W.; U.S.S. Baltimore; Presidents; Pacific Fleet; WW2; Ships",United States - Hawaii - Honolulu County - Honolulu,Black and White Photograph,image/jpeg,Image;StillImage,2005.661.258a-k,eng,Nimitz Family Photograph Collection,https://digitalarchive.pacificwarmuseum.org/digital/collection/p16769coll45,Commercial use is prohibited without permission from the National Museum of the Pacific War.,https://creativecommons.org/licenses/
nimitz41,https://tyvictoria.github.io/Nimitz-Images/nimitz41.jpg,"Chester W. Nimitz in Texas Regalia, #2",,1947,Photograph of Chester W. Nimitz standing behind a table and microphone dressed in Texas regalia.,"United States. Navy; Nimitz, Chester W.; American Flags; Texas",United States - Washington D.C.,Black and White Photograph,image/jpeg,Image;StillImage,2005.661.258a-i,eng,Nimitz Family Photograph Collection,https://digitalarchive.pacificwarmuseum.org/digital/collection/p16769coll46,Commercial use is prohibited without permission from the National Museum of the Pacific War.,https://creativecommons.org/licenses/
